Observations,Time,mV,F
1,10/29/16 10:00,722.58,72.0644
2,10/29/16 10:30,725.81,72.6458
3,10/29/16 11:00,732.26,73.8068
4,10/29/16 11:30,722.58,72.0644
5,10/29/16 12:00,729.03,73.2254
6,10/29/16 12:30,732.26,73.8068
7,10/29/16 13:00,725.81,72.6458
8,10/29/16 13:30,735.48,74.3864
9,10/29/16 14:00,735.48,74.3864
10,10/29/16 14:30,735.48,74.3864
11,10/29/16 15:00,738.71,74.9678
12,10/29/16 15:30,741.94,75.5492
13,10/29/16 16:00,745.16,76.1288
14,10/29/16 16:30,748.39,76.7102
15,10/29/16 17:00,751.61,77.2898
16,10/29/16 17:30,748.39,76.7102
17,10/29/16 18:00,754.84,77.8712
18,10/29/16 18:30,761.29,79.0322
19,10/29/16 19:00,754.84,77.8712
20,10/29/16 19:30,761.29,79.0322
21,10/29/16 20:00,761.29,79.0322
22,10/29/16 20:30,761.29,79.0322
23,10/29/16 21:00,758.06,78.4508
24,10/29/16 21:30,754.84,77.8712
25,10/29/16 22:00,761.29,79.0322
26,10/29/16 22:30,754.84,77.8712
27,10/29/16 23:00,748.39,76.7102
28,10/29/16 23:30,745.16,76.1288
29,10/30/16 0:00,745.16,76.1288
30,10/30/16 0:30,738.71,74.9678
31,10/30/16 1:00,738.71,74.9678
32,10/30/16 1:30,741.94,75.5492
33,10/30/16 2:00,735.48,74.3864
34,10/30/16 2:30,735.48,74.3864
35,10/30/16 3:00,732.26,73.8068
36,10/30/16 3:30,732.26,73.8068
37,10/30/16 4:00,729.03,73.2254
38,10/30/16 4:30,725.81,72.6458
39,10/30/16 5:00,729.03,73.2254
40,10/30/16 5:30,722.58,72.0644
41,10/30/16 6:00,722.58,72.0644
42,10/30/16 6:30,719.35,71.483
43,10/30/16 7:00,719.35,71.483
44,10/30/16 7:30,716.13,70.9034
45,10/30/16 8:00,719.35,71.483
46,10/30/16 8:30,722.58,72.0644
47,10/30/16 9:00,729.03,73.2254
48,10/30/16 9:30,729.03,73.2254
49,10/30/16 10:00,729.03,73.2254
50,10/30/16 10:30,725.81,72.6458
51,10/30/16 11:00,735.48,74.3864
52,10/30/16 11:30,735.48,74.3864
53,10/30/16 12:00,741.94,75.5492
54,10/30/16 12:30,751.61,77.2898
55,10/30/16 13:00,754.84,77.8712
56,10/30/16 13:30,751.61,77.2898
57,10/30/16 14:00,754.84,77.8712
58,10/30/16 14:30,751.61,77.2898
59,10/30/16 15:00,751.61,77.2898
60,10/30/16 15:30,748.39,76.7102
61,10/30/16 16:00,754.84,77.8712
62,10/30/16 16:30,754.84,77.8712
63,10/30/16 17:00,754.84,77.8712
64,10/30/16 17:30,751.61,77.2898
65,10/30/16 18:00,758.06,78.4508
66,10/30/16 18:30,754.84,77.8712
67,10/30/16 19:00,754.84,77.8712
68,10/30/16 19:30,761.29,79.0322
69,10/30/16 20:00,738.71,74.9678
70,10/30/16 20:30,729.03,73.2254
71,10/30/16 21:00,725.81,72.6458
72,10/30/16 21:30,729.03,73.2254
73,10/30/16 22:00,732.26,73.8068
74,10/30/16 22:30,725.81,72.6458
75,10/30/16 23:00,738.71,74.9678
76,10/30/16 23:30,732.26,73.8068
77,10/31/16 0:00,725.81,72.6458
78,10/31/16 0:30,729.03,73.2254
79,10/31/16 1:00,732.26,73.8068
80,10/31/16 1:30,725.81,72.6458
81,10/31/16 2:00,722.58,72.0644
82,10/31/16 2:30,722.58,72.0644
83,10/31/16 3:00,729.03,73.2254
84,10/31/16 3:30,722.58,72.0644
85,10/31/16 4:00,716.13,70.9034
86,10/31/16 4:30,722.58,72.0644
87,10/31/16 5:00,712.9,70.322
88,10/31/16 5:30,712.9,70.322
89,10/31/16 6:00,712.9,70.322
90,10/31/16 6:30,712.9,70.322
91,10/31/16 7:00,719.35,71.483
92,10/31/16 7:30,719.35,71.483
93,10/31/16 8:00,722.58,72.0644
94,10/31/16 8:30,719.35,71.483
95,10/31/16 9:00,716.13,70.9034
96,10/31/16 9:30,719.35,71.483
97,10/31/16 10:00,716.13,70.9034
98,10/31/16 10:30,712.9,70.322
99,10/31/16 11:00,716.13,70.9034
100,10/31/16 11:30,722.58,72.0644
101,10/31/16 12:00,729.03,73.2254
102,10/31/16 12:30,725.81,72.6458
103,10/31/16 13:00,729.03,73.2254
104,10/31/16 13:30,732.26,73.8068
105,10/31/16 14:00,732.26,73.8068
106,10/31/16 14:30,732.26,73.8068
107,10/31/16 15:00,735.48,74.3864
108,10/31/16 15:30,741.94,75.5492
109,10/31/16 16:00,735.48,74.3864
110,10/31/16 16:30,735.48,74.3864
111,10/31/16 17:00,745.16,76.1288
112,10/31/16 17:30,748.39,76.7102
113,10/31/16 18:00,745.16,76.1288
114,10/31/16 18:30,754.84,77.8712
115,10/31/16 19:00,748.39,76.7102
116,10/31/16 19:30,748.39,76.7102
117,10/31/16 20:00,745.16,76.1288
118,10/31/16 20:30,741.94,75.5492
119,10/31/16 21:00,732.26,73.8068
120,10/31/16 21:30,729.03,73.2254
121,10/31/16 22:00,735.48,74.3864
122,10/31/16 22:30,732.26,73.8068
123,10/31/16 23:00,738.71,74.9678
124,10/31/16 23:30,729.03,73.2254
125,11/1/16 0:00,729.03,73.2254
126,11/1/16 0:30,725.81,72.6458
127,11/1/16 1:00,732.26,73.8068
128,11/1/16 1:30,725.81,72.6458
129,11/1/16 2:00,732.26,73.8068
130,11/1/16 2:30,722.58,72.0644
131,11/1/16 3:00,722.58,72.0644
132,11/1/16 3:30,722.58,72.0644
133,11/1/16 4:00,719.35,71.483
134,11/1/16 4:30,716.13,70.9034
135,11/1/16 5:00,712.9,70.322
136,11/1/16 5:30,712.9,70.322
137,11/1/16 6:00,716.13,70.9034
138,11/1/16 6:30,716.13,70.9034
139,11/1/16 7:00,716.13,70.9034
140,11/1/16 7:30,719.35,71.483
141,11/1/16 8:00,719.35,71.483
142,11/1/16 8:30,709.68,69.7424
143,11/1/16 9:00,712.9,70.322
144,11/1/16 9:30,719.35,71.483
145,11/1/16 10:00,719.35,71.483
146,11/1/16 10:30,725.81,72.6458
147,11/1/16 11:00,729.03,73.2254
148,11/1/16 11:30,729.03,73.2254
149,11/1/16 12:00,732.26,73.8068
150,11/1/16 12:30,735.48,74.3864
151,11/1/16 13:00,741.94,75.5492
152,11/1/16 13:30,745.16,76.1288
153,11/1/16 14:00,748.39,76.7102
154,11/1/16 14:30,738.71,74.9678
155,11/1/16 15:00,738.71,74.9678
156,11/1/16 15:30,748.39,76.7102
157,11/1/16 16:00,741.94,75.5492
